timestamp,open,low,high,close,OPENPOSITIONVALUE,VALUE,VOLUME,open_interest,SETTLEPRICE,SWAPRATE,WAPRICE,CHANGE,QTY,NUMTRADES
2022-06-09,,,,,0.0,,,0,87999.0,,,,,0
2022-06-10,,,,,0.0,,,0,85569.0,,,,,0
2022-06-14,,,,,0.0,,,0,89309.0,,,,,0
2022-06-15,,,,,0.0,,,0,85291.0,,,,,0
2022-06-16,80275.0,80103.0,80275.0,80103.0,674328.0,320928.0,4.0,8,84291.0,,80232.0,,1.0,4
2022-06-17,83101.0,80250.0,83101.0,80300.0,4253600.0,1929059.0,24.0,52,81800.0,,80377.0,0.25,1.0,13
2022-06-20,,,,,4260464.0,,,52,81932.0,,,,,0
2022-06-21,78360.0,78074.0,78360.0,78074.0,5370486.0,547375.0,7.0,66,81371.0,,78196.0,,4.0,4
2022-06-22,79000.0,76434.0,79000.0,76528.0,7040576.0,1079473.0,14.0,92,76528.0,,77105.0,-1.98,1.0,8
2022-06-23,75000.0,74927.0,75721.0,74927.0,9540594.0,1508478.0,20.0,126,75719.0,,75424.0,-2.09,2.0,10
2022-06-24,76654.0,75007.0,76654.0,75007.0,10973620.0,676710.0,9.0,140,78383.0,,75190.0,0.11,1.0,5
2022-06-27,72713.0,72627.0,72713.0,72703.0,11100000.0,508555.0,7.0,150,74000.0,,72651.0,-3.07,1.0,6
2022-06-28,71011.0,70408.0,71011.0,71000.0,11139000.0,776902.0,11.0,158,70500.0,,70627.0,-2.34,1.0,10
2022-06-29,68697.0,68539.0,70205.0,69995.0,16938790.0,3609811.0,52.0,242,69995.0,,69419.0,-1.42,1.0,44
2022-06-30,71334.0,69654.0,71334.0,69654.0,17538950.0,493830.0,7.0,242,72475.0,,70547.0,-0.49,1.0,7
2022-07-01,72877.0,72806.0,74111.0,72806.0,18228000.0,951390.0,13.0,248,73500.0,,73184.0,4.52,1.0,12
2022-07-04,74000.0,69340.0,76000.0,73000.0,19754592.0,1529834.0,21.0,264,74828.0,,72849.0,0.27,1.0,21
