entry_date,exit_date,S0,K,type,side,quantity,entry_price,expected_exit_price,pnl,return,days_held,exit_reason,win_rate_sim,n_simulations
2026-04-30 01:20:32.179281,2026-05-28 01:20:32.179284,75699.0,62000.0,call,buy,3.02,13909.625788663998,13245.038808371894,-2007.0526804821545,-0.047778925931546354,28.95,expiry,0.4,100
2026-04-30 01:20:34.129721,2026-05-22 01:20:34.129724,75699.0,70000.0,call,buy,5.37,6076.643892217557,6169.53536173101,498.8271912872477,0.015286640316774422,22.0,expiry,0.45,100
2026-04-30 01:20:36.136029,2026-05-22 01:20:36.136032,75699.0,70000.0,call,buy,5.82,6076.643892217557,5944.097263523699,-771.4213789982506,-0.02181247264853085,22.41,stop_loss,0.38,100
2026-04-30 01:20:37.948776,2026-05-20 01:20:37.948780,75699.0,70500.0,call,buy,5.88,5623.833639634357,5502.906669061254,-711.0505869698426,-0.021502586726759004,20.14,stop_loss,0.35,100
2026-04-30 01:20:39.727005,2026-05-21 01:20:39.727008,75699.0,71000.0,call,buy,5.88,5183.567892444687,5075.405166429895,-635.9968289669748,-0.0208664626873016,21.01,stop_loss,0.39,100
2026-04-30 01:20:41.553094,2026-05-25 01:20:41.553097,75699.0,69000.0,call,buy,5.82,7008.367120159234,7808.898508035213,4659.092677438199,0.11422509325650033,25.71,expiry,0.53,100
2026-04-30 01:20:43.480233,2026-05-25 01:20:43.480236,75699.0,68000.0,call,buy,5.82,7968.149881346772,9031.613425836744,6189.357828931635,0.13346429978425878,25.49,expiry,0.54,100
